Zona;CodProv;Year;Population;Populated Area (km2);PM10 population weighted average (ug/m3);PM2.5 population weighted average (ug/m3);PM2.5 premature deaths (ref = 0 ug/m3);PM2.5 premature deaths - lower CI (ref = 0 ug/m3);PM2.5 premature deaths - upper CI (ref = 0 ug/m3);PM2.5 premature deaths (ref = 2.5 ug/m3);PM2.5 years of life lost (ref = 0 ug/m3);PM2.5 years of life lost - lower CI (ref = 0 ug/m3);PM2.5 years of life lost - upper CI (ref = 0 ug/m3);PM2.5 years of life lost (ref = 2.5 ug/m3);NO2 population weighted average (ug/m3);NO2 premature deaths (ref = 20 ug/m3);NO2 premature deaths - lower CI (ref = 20 ug/m3);NO2 premature deaths - upper CI (ref = 20 ug/m3);NO2 premature deaths (ref = 10 ug/m3);NO2 years of life lost (ref = 20 ug/m3);NO2 years of life lost - lower CI (ref = 20 ug/m3);NO2 years of life lost - upper CI (ref = 20 ug/m3);NO2 years of life lost (ref = 10 ug/m3);O3/SOMO35 population weighted average (ug*days/m3);O3/SOMO35 premature deaths;O3/SOMO35 premature deaths - lower CI;O3/SOMO35 premature deaths - upper CI;O3/SOMO10 premature deaths;O3/SOMO35 years of life lost;O3/SOMO35 years of life lost - lower CI;O3/SOMO35 years of life lost - upper CI;O3/SOMO10 years of life lost
Cantabria;39;2019;574778;1546;17,1;10,2;301;198;394;229;3249;2141;4262;2472;13,2;1;1;2;102;15;9;22;1099;2960,3;12;6;18;74;133;64;197;832
Castellón/Castelló;12;2014;582572;880;16,7;9,2;256;169;337;188;2970;1955;3901;2183;12,9;0;0;0;76;0;0;0;885;5876,8;22;11;33;0;267;129;396;0
Castellón/Castelló;12;2015;581788;880;18,8;11,1;328;216;430;256;3544;2338;4647;2768;2,4;0;0;0;6;0;0;0;64;6317,7;26;12;38;0;286;138;423;0
Castellón/Castelló;12;2016;581669;880;16,6;9,8;281;185;370;211;3162;2083;4152;2374;12,4;0;0;0;78;0;0;0;874;5834,6;23;11;34;0;266;129;394;0
Castellón/Castelló;12;2017;582771;880;16,6;9,9;295;194;387;222;3182;2097;4178;2399;14,3;4;2;5;125;39;22;56;1349;5580,9;23;11;33;0;253;122;374;0
Castellón/Castelló;12;2018;584404;880;14,5;8,3;248;163;326;174;2684;1765;3529;1885;15,9;17;9;24;165;179;102;256;1784;6479,5;26;13;39;0;296;143;438;0
Castellón/Castelló;12;2019;587894;880;14,7;9,9;297;196;390;223;3211;2115;4215;2415;15,9;12;7;17;166;125;71;179;1791;6493,7;27;13;39;96;298;144;442;1072
Ceuta;51;2014;62979;13;25,9;12,3;37;24;48;29;423;280;555;340;19,1;0;0;0;24;0;0;0;284;5599,2;2;1;3;0;28;13;41;0
Ceuta;51;2015;62894;13;27;14,3;45;30;59;37;487;322;637;405;0;0;0;0;0;0;0;0;0;6028,2;3;1;4;0;29;14;44;0
Ceuta;51;2016;62881;13;26,1;12,1;37;25;49;30;417;276;547;333;20,5;3;2;5;29;36;21;52;326;5769,9;2;1;4;0;28;14;42;0
Ceuta;51;2017;63000;13;26,2;13,8;44;29;57;36;472;312;617;389;22,7;9;5;12;36;93;53;133;389;6210,6;3;1;4;0;30;15;45;0
Ceuta;51;2018;63177;13;24,2;11,1;36;24;47;28;386;255;506;301;14,1;0;0;0;12;0;0;0;135;6029,8;3;1;4;0;30;14;44;0
Ceuta;51;2019;63554;13;20,4;8,7;28;19;37;20;307;202;403;220;17;0;0;0;20;0;0;0;221;5917,9;3;1;4;10;29;14;44;115
Ciudad Real;13;2014;531721;556;18,5;9,7;244;161;321;182;2831;1864;3717;2115;15,2;0;0;0;123;0;0;0;1420;6640,5;23;11;34;0;276;133;408;0
Ciudad Real;13;2015;531005;556;22,8;13,4;359;238;470;295;3879;2565;5075;3181;7,9;0;0;0;1;0;0;0;12;7738,8;29;14;42;0;319;155;472;0
Ciudad Real;13;2016;530897;556;20,6;12,3;320;211;419;257;3596;2375;4710;2887;13,6;0;0;0;93;0;0;0;1040;6525,3;23;11;35;0;272;131;402;0
Ciudad Real;13;2017;531902;556;23;13,6;365;241;477;300;3937;2604;5151;3238;16;4;2;6;151;46;27;67;1628;7426,2;27;13;41;0;307;148;454;0
Ciudad Real;13;2018;533393;556;21,2;10;274;181;360;207;2964;1953;3891;2243;16,3;5;3;8;161;58;33;83;1736;7329;27;13;40;0;306;148;452;0
Ciudad Real;13;2019;536578;556;23,2;11,2;305;201;400;239;3301;2178;4328;2580;14,6;1;1;2;122;12;7;17;1314;7329,6;27;13;41;89;307;149;455;995
Córdoba;14;2014;810185;721;21,4;11,8;452;298;592;359;5239;3458;6865;4162;16;0;0;0;210;0;0;0;2430;6258,7;33;16;49;0;396;192;586;0
Córdoba;14;2015;809095;721;25,8;15,4;624;413;815;526;6736;4464;8797;5685;9,3;0;0;0;17;0;0;0;186;7076,3;40;19;59;0;445;215;659;0
Córdoba;14;2016;808930;721;24,4;14,4;565;374;739;470;6350;4203;8300;5282;16,5;30;17;43;239;337;193;482;2684;6817,7;37;18;55;0;432;209;640;0
Córdoba;14;2017;810462;721;28;15,2;617;409;807;520;6664;4415;8704;5608;18,2;55;31;78;305;592;339;847;3293;8473,4;48;23;71;0;533;258;789;0
Córdoba;14;2018;812733;721;21,6;10,1;419;276;549;317;4523;2981;5937;3424;15,1;5;3;8;201;57;32;82;2170;7482,4;42;21;63;0;475;230;703;0
Córdoba;14;2019;817586;721;23,2;10,8;452;298;593;350;4884;3221;6406;3783;14,4;1;0;1;178;6;4;9;1923;7696,4;44;21;65;139;492;238;728;1550
Cuenca;16;2014;216621;736;16,2;8,3;86;56;113;60;995;654;1308;700;12,7;0;0;0;33;0;0;0;381;6793,8;10;5;14;0;115;56;170;0
Cuenca;16;2015;216329;736;18,4;10;110;73;145;83;1192;786;1564;902;6;0;0;0;0;0;0;0;1;8114,6;12;6;18;0;136;66;202;0
Cuenca;16;2016;216285;736;17,5;10,7;113;75;149;87;1273;840;1670;982;11,9;0;0;0;28;0;0;0;319;6595,5;10;5;14;0;112;54;165;0
Cuenca;16;2017;216694;736;19,6;11,5;126;83;165;99;1358;896;1779;1069;13,6;1;0;1;44;7;4;10;476;6934;10;5;15;0;117;56;173;0
Cuenca;16;2018;217302;736;18,4;9,1;102;67;133;74;1098;723;1442;802;12,9;0;0;0;39;3;2;4;421;7266,3;11;5;16;0;123;60;183;0
Cuenca;16;2019;218599;736;18,6;9,2;103;68;135;76;1115;734;1464;818;12,6;4;2;5;38;39;22;55;413;6971,5;11;5;16;36;119;58;176;399
Eivissa y Formentera;7;2014;127675;245;20,2;10,1;61;40;80;46;706;465;927;535;10,4;0;0;0;5;0;0;0;61;7431,2;6;3;9;0;74;36;110;0
Eivissa y Formentera;7;2015;127503;245;18,3;9;59;39;77;43;636;418;835;463;1,1;0;0;0;0;0;0;0;2;7274,8;6;3;10;0;72;35;107;0
Eivissa y Formentera;7;2016;127477;245;15,6;7;44;29;58;29;497;326;654;321;9,2;0;0;0;6;0;0;0;70;7324,8;6;3;9;0;73;35;108;0
Eivissa y Formentera;7;2017;127718;245;15,5;7,3;48;31;63;32;517;340;681;343;8,9;0;0;0;5;0;0;0;59;7782,2;7;3;10;0;77;37;114;0
Eivissa y Formentera;7;2018;128076;245;16,3;7,2;48;31;63;31;515;339;678;339;8,9;0;0;0;7;0;0;0;73;6828,7;6;3;9;0;68;33;101;0
Eivissa y Formentera;7;2019;128841;245;18,3;8,6;57;37;75;41;614;404;807;438;8,3;0;0;0;5;0;0;0;58;6971,2;6;3;9;22;70;34;104;247
Gipuzkoa;20;2014;695918;796;16,7;9,6;317;209;416;236;3670;2417;4820;2733;17,2;0;0;0;214;0;0;0;2484;3770,8;17;8;25;0;205;99;304;0
Gipuzkoa;20;2015;694981;796;16,9;10;354;233;465;268;3823;2519;5018;2890;5,3;0;0;0;2;0;0;0;23;4111;20;10;29;0;222;107;329;0
Gipuzkoa;20;2016;694840;796;14,2;7,7;267;175;351;182;2999;1971;3945;2045;15,5;5;3;7;176;53;31;77;1978;2950,5;14;7;20;0;161;78;238;0
Gipuzkoa;20;2017;696155;796;15,6;8,3;295;194;388;207;3183;2093;4185;2237;15,5;8;5;12;182;88;50;126;1961;2987,2;14;7;21;0;162;78;240;0
Gipuzkoa;20;2018;698106;796;15,2;10,5;376;248;494;289;4068;2682;5338;3127;14,2;3;2;4;144;30;17;43;1561;3524,8;17;8;25;0;193;93;285;0
Gipuzkoa;20;2019;702275;796;15,8;9,1;328;216;431;239;3542;2331;4653;2586;12,9;0;0;0;108;0;0;0;1164;3616,8;18;9;26;96;199;96;294;1073
Girona;17;2014;736423;2000;18,8;11,4;395;261;518;310;4579;3021;6002;3597;17,8;15;8;21;248;171;98;246;2874;5856,6;28;14;41;0;337;163;499;0
Girona;17;2015;735432;2000;20,2;12;446;295;585;356;4820;3183;6315;3844;5;1;0;1;11;7;4;10;122;6761,1;35;17;51;0;387;187;572;0
Girona;17;2016;735282;2000;16,6;9,7;352;232;462;263;3951;2602;5188;2953;17,7;34;20;49;257;387;222;553;2882;5489,3;27;13;40;0;316;153;468;0
Girona;17;2017;736674;2000;17,1;10,6;396;261;519;305;4274;2818;5606;3287;18,8;65;37;92;303;697;400;995;3270;6042;31;15;46;0;346;167;512;0
Girona;17;2018;738739;2000;16,2;10;377;248;495;284;4074;2684;5347;3074;16,7;24;14;35;237;262;150;374;2560;6463,4;33;16;49;0;373;181;552;0
