Zona;CodProv;Year;Population;Populated Area (km2);PM10 population weighted average (ug/m3);PM2.5 population weighted average (ug/m3);PM2.5 premature deaths (ref = 0 ug/m3);PM2.5 premature deaths - lower CI (ref = 0 ug/m3);PM2.5 premature deaths - upper CI (ref = 0 ug/m3);PM2.5 premature deaths (ref = 2.5 ug/m3);PM2.5 years of life lost (ref = 0 ug/m3);PM2.5 years of life lost - lower CI (ref = 0 ug/m3);PM2.5 years of life lost - upper CI (ref = 0 ug/m3);PM2.5 years of life lost (ref = 2.5 ug/m3);NO2 population weighted average (ug/m3);NO2 premature deaths (ref = 20 ug/m3);NO2 premature deaths - lower CI (ref = 20 ug/m3);NO2 premature deaths - upper CI (ref = 20 ug/m3);NO2 premature deaths (ref = 10 ug/m3);NO2 years of life lost (ref = 20 ug/m3);NO2 years of life lost - lower CI (ref = 20 ug/m3);NO2 years of life lost - upper CI (ref = 20 ug/m3);NO2 years of life lost (ref = 10 ug/m3);O3/SOMO35 population weighted average (ug*days/m3);O3/SOMO35 premature deaths;O3/SOMO35 premature deaths - lower CI;O3/SOMO35 premature deaths - upper CI;O3/SOMO10 premature deaths;O3/SOMO35 years of life lost;O3/SOMO35 years of life lost - lower CI;O3/SOMO35 years of life lost - upper CI;O3/SOMO10 years of life lost
Madrid;28;2015;6475939;1895;20,2;10,8;3564;2350;4674;2762;38484;25379;50474;29832;22,9;1538;891;2178;3765;16613;9617;23519;40660;6640,4;299;144;442;0;3343;1617;4947;0
Madrid;28;2016;6474622;1895;20,5;11,2;3567;2354;4677;2793;40084;26445;52552;31379;32,2;3506;2039;4940;6080;39395;22914;55505;68316;5942,1;259;125;383;0;3016;1459;4464;0
Madrid;28;2017;6486880;1895;23,5;13;4254;2812;5567;3460;45913;30347;60088;37348;35,1;4418;2576;6208;7070;47678;27803;67002;76306;6130,5;276;134;409;0;3091;1495;4574;0
Madrid;28;2018;6505062;1895;19,9;9,5;3169;2087;4161;2352;34250;22558;44975;25422;30;3047;1767;4306;5757;32934;19099;46539;62221;6578,1;299;145;442;0;3345;1618;4951;0
Madrid;28;2019;6543905;1895;17,8;8,7;2941;1935;3865;2115;31785;20915;41773;22863;29,1;2930;1699;4141;5536;31667;18361;44758;59832;6258,5;286;138;424;984;3202;1549;4739;11014
Málaga;29;2014;1538758;1369;26;13,3;963;636;1260;788;11158;7376;14601;9130;17,8;41;23;59;514;474;271;679;5961;6417,7;64;31;95;0;771;373;1141;0
Málaga;29;2015;1536687;1369;27,9;16,5;1264;838;1649;1080;13647;9052;17804;11662;1,9;1;1;2;22;13;7;18;238;7135,7;76;37;113;0;852;412;1261;0
Málaga;29;2016;1536374;1369;25,5;14,3;1073;710;1402;892;12052;7976;15754;10025;19,9;179;103;254;672;2009;1158;2858;7549;6160;64;31;94;0;742;359;1098;0
Málaga;29;2017;1539283;1369;26,5;14,5;1124;744;1470;938;12135;8033;15860;10121;21,1;240;139;341;776;2592;1496;3682;8371;7788,2;83;40;123;0;931;451;1378;0
Málaga;29;2018;1543597;1369;23;11,1;872;575;1143;679;9419;6213;12351;7344;17,1;89;51;127;513;960;551;1371;5543;7073,2;76;37;113;0;853;413;1263;0
Málaga;29;2019;1552814;1369;23,1;10,9;863;569;1132;670;9330;6153;12237;7240;17,4;92;53;132;535;999;573;1426;5788;7318,7;79;38;117;265;888;430;1314;2970
Mallorca;7;2014;830016;830;19,9;9,9;389;256;511;293;4513;2973;5925;3396;12,4;0;0;0;97;0;0;0;1120;6437;35;17;51;0;417;202;617;0
Mallorca;7;2015;828899;830;18,8;9,7;411;271;539;307;4436;2922;5824;3321;5,9;1;0;1;50;7;4;10;541;6378,6;37;18;54;0;411;199;608;0
Mallorca;7;2016;828730;830;16,2;7,7;317;209;418;216;3566;2344;4692;2428;14,5;52;30;74;205;579;332;827;2309;6072;34;16;50;0;394;191;584;0
Mallorca;7;2017;830299;830;17;9;383;252;503;279;4131;2719;5427;3009;14,3;58;33;82;216;621;356;888;2333;6388,7;37;18;55;0;412;199;610;0
Mallorca;7;2018;832627;830;18;9,2;393;259;517;289;4252;2799;5585;3120;17,6;89;51;127;298;965;555;1376;3220;5465,7;32;15;47;0;356;172;527;0
Mallorca;7;2019;837598;830;19,2;10,2;436;287;572;331;4710;3104;6182;3578;14,7;29;17;42;203;318;182;455;2197;6054,3;35;17;52;137;397;192;587;1528
Melilla;52;2014;78252;11;23,7;11,5;43;28;56;34;494;326;648;390;14,7;0;0;0;16;0;0;0;184;6143,5;3;2;5;0;38;18;56;0
Melilla;52;2015;78147;11;24,4;12,9;51;34;67;41;550;364;720;447;0;0;0;0;0;0;0;0;0;5860,6;3;2;5;0;36;17;53;0
Melilla;52;2016;78131;11;23,5;12,5;48;32;63;39;539;356;706;435;13,8;0;0;0;13;0;0;0;152;6072,9;3;2;5;0;37;18;55;0
Melilla;52;2017;78279;11;23,2;12,6;50;33;65;40;539;356;705;435;13;0;0;0;12;0;0;0;127;7076,3;4;2;6;0;43;21;64;0
Melilla;52;2018;78498;11;28;14,2;56;37;74;47;610;404;798;506;21,9;10;6;15;42;112;64;161;459;4821,8;3;1;4;0;30;14;44;0
Melilla;52;2019;78967;11;24;11,7;47;31;61;37;507;334;664;401;16,5;0;0;0;23;0;0;0;254;5478,4;3;1;4;12;34;16;50;137
Menorca;7;2014;89230;102;21,3;10;42;28;56;32;492;324;646;372;10,1;0;0;0;2;0;0;0;23;6652,6;4;2;6;0;46;22;69;0
Menorca;7;2015;89110;102;18,9;9,3;42;28;56;31;458;302;602;338;1,7;0;0;0;0;0;0;0;0;6586,4;4;2;6;0;46;22;68;0
Menorca;7;2016;89092;102;16,6;7,4;33;21;43;22;367;241;483;244;8,7;0;0;0;3;0;0;0;33;6466,6;4;2;6;0;45;22;67;0
Menorca;7;2017;89260;102;16,6;7,6;35;23;46;24;376;247;495;255;8,5;0;0;0;3;0;0;0;28;5230,6;3;2;5;0;36;18;54;0
Menorca;7;2018;89511;102;17,6;8,8;40;27;53;29;437;288;575;315;8,1;0;0;0;1;0;0;0;14;5484,8;3;2;5;0;38;19;57;0
Menorca;7;2019;90045;102;17,9;8,9;41;27;54;30;445;293;585;322;7,1;0;0;0;0;0;0;0;2;6153,2;4;2;6;14;43;21;64;162
Murcia;30;2014;1466205;1339;22,7;12,3;849;560;1112;681;9836;6496;12884;7892;18,1;9;5;13;510;105;60;151;5913;6347,2;60;29;89;0;727;351;1075;0
Murcia;30;2015;1464231;1339;22,8;14;1031;682;1348;853;11129;7362;14553;9209;7,8;15;8;21;73;158;91;225;784;6341,3;64;31;95;0;722;349;1068;0
Murcia;30;2016;1463933;1339;21,9;12,1;869;574;1139;695;9767;6449;12795;7810;17,4;53;30;76;484;597;342;853;5443;6087;60;29;89;0;699;338;1034;0
Murcia;30;2017;1466704;1339;21,6;11,9;888;586;1163;707;9583;6326;12556;7634;18,8;91;53;131;593;987;567;1409;6395;7480;76;37;113;0;852;412;1261;0
Murcia;30;2018;1470815;1339;20,1;10,2;764;504;1003;580;8260;5443;10841;6272;15,9;35;20;50;412;374;215;535;4449;7650,9;79;38;116;0;879;426;1301;0
Murcia;30;2019;1479598;1339;21,6;11,6;874;577;1146;691;9447;6235;12383;7464;14,5;20;11;28;322;215;123;308;3477;6983,9;72;35;107;249;808;391;1195;2789
Navarra;31;2014;642628;1317;16,3;9,3;284;187;373;209;3287;2164;4318;2420;15,5;0;0;0;159;0;0;0;1840;3805,5;16;8;23;0;191;92;283;0
Navarra;31;2015;641763;1317;16,7;10,2;331;218;435;252;3578;2358;4696;2717;8;0;0;0;10;2;1;2;106;4624,6;21;10;31;0;231;112;342;0
Navarra;31;2016;641633;1317;13,9;7,5;238;156;313;159;2671;1755;3515;1788;14,2;7;4;10;138;81;46;116;1550;3406,8;15;7;22;0;172;83;254;0
Navarra;31;2017;642847;1317;15,6;8,7;284;187;374;204;3070;2020;4035;2199;15,1;12;7;17;166;126;72;180;1793;3387,2;15;7;22;0;169;82;251;0
Navarra;31;2018;644649;1317;15,2;9,7;322;212;423;241;3479;2292;4567;2605;13,3;2;1;3;120;22;13;32;1298;3839,8;17;8;26;0;194;94;287;0
Navarra;31;2019;648499;1317;15,1;8,1;272;179;358;190;2941;1934;3868;2054;14;6;3;8;140;63;36;90;1517;4330,2;20;9;29;92;220;106;325;1026
Ourense;32;2014;329999;2140;13,1;6,9;109;71;143;70;1259;827;1658;807;10,1;0;0;0;26;0;0;0;302;3316,6;7;3;11;0;86;41;127;0
Ourense;32;2015;329555;2140;15,1;7,7;129;85;170;88;1396;918;1836;947;4,7;0;0;0;1;0;0;0;9;4045,9;9;4;14;0;104;50;154;0
Ourense;32;2016;329488;2140;13,5;7,2;118;77;155;77;1324;870;1742;870;11;1;1;2;47;12;7;17;532;3916;9;4;13;0;101;49;150;0
Ourense;32;2017;330111;2140;15,5;8;134;88;177;93;1450;954;1906;1001;11,8;4;2;6;59;43;25;61;633;3895,4;9;4;13;0;100;48;148;0
Ourense;32;2018;331037;2140;13,5;8,1;138;91;182;96;1495;984;1965;1042;10,7;0;0;0;45;0;0;0;486;4003,2;9;4;14;0;104;50;154;0
Ourense;32;2019;333013;2140;12,7;6,8;117;77;154;74;1262;829;1661;803;11,3;1;1;1;48;10;6;15;522;3246;8;4;11;42;85;41;125;472
Palencia;34;2014;169773;752;14,3;7,6;62;41;81;42;718;472;945;486;11,4;0;0;0;18;0;0;0;214;4668,2;5;2;8;0;62;30;92;0
Palencia;34;2015;169544;752;15,1;8,2;71;47;93;50;766;504;1007;536;6,7;0;0;0;0;0;0;0;0;5200,6;6;3;9;0;69;33;102;0
Palencia;34;2016;169510;752;12,7;6,5;55;36;72;34;614;403;809;380;11,3;0;0;0;19;0;0;0;212;4561,1;5;3;8;0;61;29;90;0
Palencia;34;2017;169830;752;13,7;6,9;60;40;80;39;652;428;858;419;10,3;0;0;0;13;0;0;0;145;5536,8;7;3;10;0;73;35;108;0
Palencia;34;2018;170306;752;12,1;7,3;64;42;84;42;691;454;910;457;10,1;0;0;0;13;0;0;0;145;5354,2;6;3;9;0;71;34;106;0
Palencia;34;2019;171323;752;12,9;6,8;60;40;79;38;652;428;858;415;10;0;0;0;13;0;0;0;143;5927,9;7;3;11;27;79;38;118;298
Pontevedra;36;2014;912357;1933;15,9;8,1;352;231;463;245;4078;2681;5363;2837;12,8;0;0;0;129;0;0;0;1490;2917,6;17;8;26;0;208;101;308;0
Pontevedra;36;2015;911128;1933;18,6;9,9;457;301;599;343;4932;3250;6473;3708;9,5;5;3;7;98;53;31;76;1059;2705,7;17;8;25;0;192;93;284;0
Pontevedra;36;2016;910943;1933;17,2;8,7;391;257;514;280;4392;2890;5772;3149;15;58;33;83;235;651;374;929;2646;2859,5;18;8;26;0;204;99;303;0
Pontevedra;36;2017;912668;1933;18,6;7,8;364;240;479;249;3932;2586;5172;2689;17,5;108;62;153;333;1163;671;1653;3595;2580,1;16;8;24;0;183;89;271;0
Pontevedra;36;2018;915226;1933;17,6;9;422;278;554;306;4558;3002;5986;3312;14,7;54;31;77;235;586;337;837;2538;3543,3;23;11;34;0;254;123;376;0
Pontevedra;36;2019;920691;1933;16,9;8,4;398;262;524;282;4306;2833;5661;3048;13,7;22;13;32;189;241;138;345;2038;2351,4;15;7;22;103;170;82;251;1154
Salamanca;37;2014;351097;1283;12,3;6;102;67;134;60;1178;773;1553;695;10,2;0;0;0;22;0;0;0;251;4852,4;11;5;16;0;133;64;197;0
Salamanca;37;2015;350625;1283;15,3;7,9;141;93;186;97;1528;1004;2009;1051;6,8;0;0;0;1;0;0;1;13;6462;16;8;23;0;176;85;261;0
Salamanca;37;2016;350553;1283;14,4;7,1;123;81;162;80;1385;910;1824;902;11,3;0;0;0;48;0;0;0;541;5691,3;13;6;20;0;156;76;232;0
Salamanca;37;2017;351217;1283;18,2;9,5;169;112;222;126;1829;1204;2401;1355;11,3;0;0;0;49;3;2;5;524;6718,2;16;8;24;0;183;89;271;0
Salamanca;37;2018;352202;1283;14,4;7,2;130;85;171;85;1405;923;1849;920;12,3;0;0;1;57;4;2;6;619;6427;16;8;23;0;177;86;262;0
Salamanca;37;2019;354305;1283;13,7;5,9;108;71;142;62;1163;763;1532;671;11,2;0;0;0;42;0;0;0;458;6301,8;16;8;23;56;175;84;258;622
Segovia;40;2014;165111;772;15,3;7,6;60;39;79;40;695;456;914;469;12,4;0;0;0;26;0;0;0;297;5762,1;6;3;9;0;74;36;110;0
Segovia;40;2015;164888;772;15,3;7,4;63;41;82;42;675;444;889;450;5,1;0;0;0;1;0;0;0;14;6952,2;8;4;12;0;89;43;132;0
Segovia;40;2016;164855;772;13,7;6,8;56;37;74;36;630;414;830;403;11,7;0;0;0;22;0;0;0;251;6656,6;7;4;11;0;86;42;127;0
Segovia;40;2017;165167;772;15,3;7,5;63;42;84;43;685;450;901;460;10,9;0;0;0;17;0;0;0;184;7028,6;8;4;12;0;90;44;133;0
Segovia;40;2018;165630;772;12,9;5,8;50;33;66;29;541;355;713;312;12,4;0;0;0;28;0;0;0;299;7312;8;4;13;0;95;46;140;0
Segovia;40;2019;166619;772;13,4;5,8;50;33;66;28;539;353;710;307;8,7;0;0;0;6;0;0;0;66;7503,9;9;4;13;28;98;47;145;311
Sevilla;41;2014;1953454;888;23,9;13,5;1236;817;1617;1014;14328;9474;18746;11757;17,4;57;33;82;613;665;380;953;7105;5408,1;69;33;101;0;825;399;1221;0
Sevilla;41;2015;1950824;888;27,6;17,3;1678;1114;2187;1446;18122;12030;23622;15614;12,5;19;11;27;277;201;115;287;2993;6727,6;91;44;135;0;1020;494;1510;0
Sevilla;41;2016;1950427;888;26,5;15,4;1458;966;1904;1231;16386;10857;21397;13829;18,6;143;82;204;739;1609;923;2297;8300;6392,1;84;41;124;0;977;473;1446;0
Sevilla;41;2017;1954120;888;30,7;15,2;1494;990;1951;1258;16123;10681;21058;13578;21,5;280;161;399;1015;3022;1738;4306;10956;7104,8;96;47;143;0;1079;522;1596;0
Sevilla;41;2018;1959597;888;23,6;9,8;986;649;1294;740;10654;7019;13986;7999;17,9;106;61;152;716;1147;657;1640;7736;6417,7;88;43;130;0;983;476;1455;0
Sevilla;41;2019;1971298;888;20,9;9,6;970;639;1274;723;10485;6905;13769;7811;17,3;84;48;120;662;908;520;1300;7151;6791,2;94;45;138;321;1047;506;1549;3587
Soria;42;2014;94528;610;14,1;7,5;34;22;45;23;395;260;520;266;11,2;0;0;0;11;0;0;0;126;5268,2;3;2;5;0;39;19;58;0
Soria;42;2015;94401;610;14,5;7,5;36;24;48;24;392;258;516;264;5,4;0;0;0;0;0;0;0;0;6088;4;2;6;0;45;22;66;0
Soria;42;2016;94382;610;12,2;7;33;22;43;21;371;244;488;241;11,2;0;0;0;12;0;0;0;136;5334,3;3;2;5;0;39;19;58;0
Soria;42;2017;94561;610;13,4;7,3;36;23;47;24;384;252;505;255;11,3;0;0;0;13;0;0;0;140;5417,1;4;2;5;0;40;19;59;0
Soria;42;2018;94826;610;12,1;6,6;33;21;43;20;352;231;464;221;10,7;0;0;0;11;0;0;0;117;5725,1;4;2;6;0;42;21;63;0
Soria;42;2019;95392;610;14;6,5;32;21;43;20;349;229;460;217;9,1;0;0;0;6;0;0;0;63;6510,7;4;2;6;15;49;23;72;170
Tarragona;43;2014;788868;1095;18,5;10,1;377;249;495;286;4375;2883;5743;3315;15,8;0;0;0;197;0;0;0;2283;5545,6;28;14;42;0;342;165;506;0
Tarragona;43;2015;787806;1095;20,6;12;478;316;627;382;5166;3411;6768;4121;5,1;1;0;1;31;9;5;13;336;6001,8;33;16;49;0;368;178;544;0
Tarragona;43;2016;787646;1095;17;9,7;377;248;495;282;4235;2789;5561;3166;16,4;24;14;34;228;265;152;379;2566;5011,2;27;13;39;0;310;150;458;0
Tarragona;43;2017;789137;1095;17,8;10,5;421;278;553;323;4547;2997;5965;3489;17,2;34;19;48;263;364;209;520;2834;5704,6;31;15;46;0;350;169;518;0
Tarragona;43;2018;791349;1095;16,9;9;364;240;479;265;3939;2592;5175;2861;15,8;19;11;28;217;210;120;300;2345;5581,9;31;15;46;0;345;167;511;0
Tarragona;43;2019;796074;1095;16,8;10,3;419;276;550;320;4530;2986;5945;3455;14,3;10;6;14;169;106;60;152;1830;6117,9;34;16;50;124;381;184;564;1386
Teruel;44;2014;142879;676;14;7,3;50;33;66;33;582;382;765;387;11;0;0;0;15;0;0;0;168;6249,9;6;3;9;0;70;34;103;0
Teruel;44;2015;142686;676;15,5;8,2;60;39;79;42;645;424;848;452;4,2;0;0;0;0;0;0;0;0;6694,1;7;3;10;0;74;36;110;0
Teruel;44;2016;142657;676;13,8;7,7;54;36;71;37;610;401;803;414;10,2;0;0;0;11;0;0;0;120;6444,4;6;3;9;0;72;35;107;0
Teruel;44;2017;142927;676;14,3;7,9;58;38;76;40;623;410;819;428;9,8;0;0;0;9;0;0;0;101;6234,3;6;3;9;0;69;33;102;0
Teruel;44;2018;143328;676;12,6;7,1;53;35;69;34;569;374;749;372;9,3;0;0;0;7;0;0;0;79;6443,8;6;3;10;0;72;35;107;0
Teruel;44;2019;144184;676;13,4;7,3;54;36;72;36;589;387;775;391;8,8;0;0;0;6;0;0;0;61;7024,4;7;3;10;24;79;38;117;267
Toledo;45;2014;709208;1158;18,9;9,5;322;212;422;239;3728;2455;4896;2772;15,6;0;0;0;174;0;0;0;2019;5854;27;13;40;0;324;157;480;0
Toledo;45;2015;708253;1158;19,8;10,6;383;252;502;295;4135;2726;5425;3188;9,3;0;0;0;26;3;2;4;276;7124,7;35;17;52;0;392;190;580;0
Toledo;45;2016;708109;1158;19,1;11,2;388;256;509;304;4364;2879;5722;3412;15,4;6;3;9;175;68;39;97;1969;6121,9;29;14;43;0;340;164;503;0
Toledo;45;2017;709450;1158;21,7;12,9;463;306;606;376;4999;3304;6543;4062;18,6;36;21;52;281;393;225;562;3037;7299,2;36;17;53;0;402;195;595;0
Toledo;45;2018;711438;1158;18,8;9,4;344;227;452;255;3718;2448;4883;2752;16,6;11;6;16;223;117;67;168;2411;7380,2;37;18;54;0;410;199;607;0
Toledo;45;2019;715686;1158;19,4;9,3;343;226;451;253;3707;2441;4869;2735;14,1;4;2;6;145;44;25;64;1564;7156,2;36;17;53;116;400;194;592;1298
Valencia/València;46;2014;2569813;1571;17,9;10,3;1253;826;1645;956;14527;9574;19065;11078;18,1;186;106;265;883;2150;1233;3073;10229;5935,6;99;48;146;0;1191;576;1763;0
Valencia/València;46;2015;2566353;1571;21,1;13,5;1741;1151;2278;1428;18802;12433;24597;15426;8,4;136;78;193;385;1464;844;2081;4155;5617,9;100;48;148;0;1121;542;1659;0
Valencia/València;46;2016;2565831;1571;18,9;10,8;1366;901;1791;1058;15345;10120;20126;11887;18,7;373;215;529;1002;4188;2417;5947;11259;5335,5;92;45;136;0;1073;519;1589;0
Valencia/València;46;2017;2570689;1571;19,3;10,9;1425;940;1869;1107;15385;10148;20175;11948;22,3;575;333;814;1414;6202;3590;8781;15257;5666,8;101;49;150;0;1132;548;1676;0
Valencia/València;46;2018;2577894;1571;18,2;10,2;1345;886;1764;1022;14532;9580;19067;11048;19,9;377;217;535;1167;4071;2348;5785;12611;6224,9;112;54;166;0;1255;607;1857;0
Valencia/València;46;2019;2593287;1571;18,1;10,7;1420;936;1862;1096;15344;10119;20124;11850;19;284;163;405;1070;3068;1764;4373;11569;5919,1;107;52;159;406;1200;581;1777;4545
Valladolid;47;2014;537010;763;14,6;7,5;192;126;253;129;2229;1464;2933;1496;13,2;0;0;0;82;0;0;0;945;4898,6;17;8;25;0;206;99;304;0
Valladolid;47;2015;536287;763;17;9,6;263;173;345;196;2835;1868;3723;2113;7,3;0;0;0;3;2;1;2;27;5672,5;21;10;31;0;237;114;350;0
Valladolid;47;2016;536177;763;15,9;8,2;217;143;285;152;2437;1603;3204;1703;13,9;1;1;2;108;16;9;23;1210;5229,9;19;9;28;0;220;106;326;0
Valladolid;47;2017;537193;763;18,5;9,8;268;176;352;201;2891;1905;3794;2168;13,2;1;1;2;97;16;9;23;1051;6238,8;23;11;34;0;260;126;385;0
Valladolid;47;2018;538698;763;17;9,4;259;171;341;192;2804;1847;3682;2072;15,3;10;6;14;144;107;61;153;1552;5960,1;22;11;33;0;251;121;372;0
Valladolid;47;2019;541915;763;14,1;7,3;204;134;269;135;2207;1450;2904;1462;13,6;3;2;5;112;37;21;53;1207;6327,7;24;12;35;85;268;130;397;954
Zamora;49;2014;192120;1121;12,2;6,1;57;37;75;34;657;431;866;393;9,1;0;0;0;8;0;0;0;98;4871,6;6;3;9;0;73;35;108;0
Zamora;49;2015;191861;1121;14,1;7,3;72;47;95;48;780;513;1026;518;7,1;0;0;0;1;0;0;0;15;5707,4;8;4;11;0;85;41;126;0
Zamora;49;2016;191822;1121;12,3;6,1;59;39;77;35;660;433;870;394;8,4;0;0;0;7;0;0;0;83;5048,9;7;3;10;0;76;37;112;0
Zamora;49;2017;192185;1121;14,4;7,2;71;46;93;46;762;501;1003;499;8;0;0;0;6;0;0;0;66;5967,1;8;4;12;0;89;43;132;0
Zamora;49;2018;192724;1121;12,1;6,3;63;41;82;38;676;444;890;409;9,5;0;0;0;16;0;0;0;171;5527,2;7;4;11;0;83;40;123;0
Zamora;49;2019;193875;1121;11,9;5,8;59;38;77;34;633;416;835;364;9,1;0;0;0;13;0;0;0;141;5934,1;8;4;12;30;90;44;133;333
Zaragoza;50;2014;981331;947;17,5;9,5;445;293;585;331;5161;3399;6778;3838;19,3;80;46;114;392;926;530;1326;4546;4379,8;28;13;41;0;336;162;497;0
Zaragoza;50;2015;980009;947;19,6;11,3;560;369;734;439;6042;3987;7921;4736;10,3;5;3;7;53;56;32;80;576;3756,2;26;12;38;0;286;139;424;0
Zaragoza;50;2016;979810;947;18,2;10,1;488;321;640;370;5480;3611;7192;4154;20;146;84;209;439;1644;945;2343;4930;3310,9;22;11;32;0;255;123;377;0
Zaragoza;50;2017;981665;947;19,4;11,2;557;367;730;435;6007;3963;7875;4696;20,9;172;99;245;489;1854;1066;2642;5277;3360,9;23;11;34;0;257;124;380;0
Zaragoza;50;2018;984416;947;18,4;9,3;472;311;620;348;5102;3360;6701;3765;18,2;100;58;143;389;1085;622;1550;4209;4993,9;34;17;51;0;385;186;569;0
Zaragoza;50;2019;990295;948;15,9;7,4;378;248;497;252;4085;2684;5376;2724;18,5;98;56;139;397;1054;605;1506;4292;5245,5;36;18;54;144;406;197;601;1616
